keyword,repo,file,url,raw_url
"extension:ipynb ""Harvard University"" in:file",mesolitica/malaysian-dataset,corpus/toxicity-large/notebook/populate-kaum.ipynb,https://github.com/mesolitica/malaysian-dataset/blob/297ebe60c9c2a55c9f8b760a71ba3bad2ff09859/corpus/toxicity-large/notebook/populate-kaum.ipynb,https://raw.githubusercontent.com/mesolitica/malaysian-dataset/297ebe60c9c2a55c9f8b760a71ba3bad2ff09859/corpus/toxicity-large/notebook/populate-kaum.ipynb
"extension:ipynb ""Harvard University"" in:file",cahya-wirawan/indonesian-language-models,Transformers/Tasks/IndoBenchmark/FacQA.ipynb,https://github.com/cahya-wirawan/indonesian-language-models/blob/f7eef489faa3425741d749298da9c7d025acd3ea/Transformers/Tasks/IndoBenchmark/FacQA.ipynb,https://raw.githubusercontent.com/cahya-wirawan/indonesian-language-models/f7eef489faa3425741d749298da9c7d025acd3ea/Transformers/Tasks/IndoBenchmark/FacQA.ipynb
"extension:ipynb ""Harvard University"" in:file",IndoNLP/cendol,evaluation/local_prompt_gen.ipynb,https://github.com/IndoNLP/cendol/blob/a34d590f1c7b82538cf0139eedb09b1b04382c0d/evaluation/local_prompt_gen.ipynb,https://raw.githubusercontent.com/IndoNLP/cendol/a34d590f1c7b82538cf0139eedb09b1b04382c0d/evaluation/local_prompt_gen.ipynb
"extension:ipynb ""Harvard University"" in:file",FuadHamdiBahar/Eksplorasi-Data,50. One Hot.ipynb,https://github.com/FuadHamdiBahar/Eksplorasi-Data/blob/f4c415635c1cc4f1ab049792e83a5e47665eedf6/50.%20One%20Hot.ipynb,https://raw.githubusercontent.com/FuadHamdiBahar/Eksplorasi-Data/f4c415635c1cc4f1ab049792e83a5e47665eedf6/50.%20One%20Hot.ipynb
"extension:ipynb ""Harvard University"" in:file",taudataanalytics/taudata-Academy,dm-12.ipynb,https://github.com/taudataanalytics/taudata-Academy/blob/a7b4db94b234d765cdd95e7cdbabea4aa4b5a3c1/dm-12.ipynb,https://raw.githubusercontent.com/taudataanalytics/taudata-Academy/a7b4db94b234d765cdd95e7cdbabea4aa4b5a3c1/dm-12.ipynb
"extension:ipynb ""Harvard University"" in:file",mvallet91/SmartPub-TSENER,.ipynb_checkpoints/WWW2018-checkpoint.ipynb,https://github.com/mvallet91/SmartPub-TSENER/blob/768459e5ef42e18c64809c94bea500903d4b4a88/.ipynb_checkpoints/WWW2018-checkpoint.ipynb,https://raw.githubusercontent.com/mvallet91/SmartPub-TSENER/768459e5ef42e18c64809c94bea500903d4b4a88/.ipynb_checkpoints/WWW2018-checkpoint.ipynb
"extension:ipynb ""Harvard University"" in:file",tafaquh/lda-try-english,lda-try-eng.ipynb,https://github.com/tafaquh/lda-try-english/blob/bf0b7d66024e8e223f1b7a0a0f4021106fc6bef7/lda-try-eng.ipynb,https://raw.githubusercontent.com/tafaquh/lda-try-english/bf0b7d66024e8e223f1b7a0a0f4021106fc6bef7/lda-try-eng.ipynb
"extension:ipynb ""Harvard University"" in:file",tonimurfid/ASR_Arten,Backup/Untitled-1.ipynb,https://github.com/tonimurfid/ASR_Arten/blob/1754dbb54275300d412197141776c3565a075e73/Backup/Untitled-1.ipynb,https://raw.githubusercontent.com/tonimurfid/ASR_Arten/1754dbb54275300d412197141776c3565a075e73/Backup/Untitled-1.ipynb
"extension:ipynb ""Harvard University"" in:file",dadandw/web_scraping_berita,scraping.ipynb,https://github.com/dadandw/web_scraping_berita/blob/40da7917bc30caa922a0d203b1b8e30b9f009641/scraping.ipynb,https://raw.githubusercontent.com/dadandw/web_scraping_berita/40da7917bc30caa922a0d203b1b8e30b9f009641/scraping.ipynb
"extension:ipynb ""Harvard University"" in:file",Giant77/indonesian-news-NER,notebook.ipynb,https://github.com/Giant77/indonesian-news-NER/blob/07880c5a173ea90299a4bb744ad5127572f54cf2/notebook.ipynb,https://raw.githubusercontent.com/Giant77/indonesian-news-NER/07880c5a173ea90299a4bb744ad5127572f54cf2/notebook.ipynb
