university,policy_title,url,document_type,publishing_date,department
University of Indonesia,Peraturan Rektor Nomor 1 Tahun 2024 tentang Penyelenggaraan Program Sarjana,https://ppid.ui.ac.id/wp-content/uploads/2024/10/PR-2024-NO-1-Tentang-Penyelenggaraan-Program-Sarjana_watermark.pdf,PDF,2024,PPID Universitas Indonesia
University of Indonesia,Peraturan Rektor Nomor 2 Tahun 2024 tentang Penyelenggaraan Program Magister,https://ppid.ui.ac.id/wp-content/uploads/2024/10/PR-2024-NO-2-Tentang-Penyelenggaraan-Program-Magister_watermark.pdf,PDF,2024,PPID Universitas Indonesia
University of Indonesia,Peraturan Rektor Nomor 3 Tahun 2024 tentang Penyelenggaraan Program Doktor,https://ppid.ui.ac.id/wp-content/uploads/2024/10/PR-2024-NO-3-Tentang-Penyelenggaraan-Program-Doktor_watermark.pdf,PDF,2024,PPID Universitas Indonesia
University of Indonesia,Peraturan Rektor Nomor 4 Tahun 2024 tentang Kode Etik Dan Kode Perilaku Universitas Indonesia,https://ppid.ui.ac.id/wp-content/uploads/2024/10/PR-2024-NO-4-Tentang-Kode-Etik-Dan-Kode-Perilaku-Universitas-Indonesia_watermark.pdf,PDF,2024,PPID Universitas Indonesia
University of Indonesia,Peraturan Rektor Nomor 5 Tahun 2024 tentang Pedoman Penyelesaian Pelanggaran Kode Etik Dan Kode Perilaku,https://ppid.ui.ac.id/wp-content/uploads/2024/10/PR-2024-NO-5-Tentang-Pedoman-Penyelesaian-Pelanggaran-Kode-Etik-Dan-Kode-Perilaku_watermark.pdf,PDF,2024,PPID Universitas Indonesia
University of Indonesia,"Peraturan Rektor Nomor 6 Tahun 2024 tentang Perubahan atas Peraturan Rektor Universitas Indonesia Nomor 18 Tahun 2023 Tentang Penyelenggaraan Merdeka Belajar Kampus Merdeka Pada Program Sarjana, Sarjan Terapan, dan Diploma III",https://ppid.ui.ac.id/wp-content/uploads/2024/10/PR-2024-NO-6-Tentang-Perubahan-atas-Peraturan-Rektor-Universitas-Indonesia-Nomor-18-Tahun-2023-Tentang-Penyelenggaraan-Merdeka-Belajar-Kampus-Merdeka-Pada-Program-Sarjana-Sarjana-Terapan-dan-Diploma-III.pdf,PDF,2024,PPID Universitas Indonesia
University of Indonesia,Peraturan Rektor Nomor 7 Tahun 2024 tentang Jabatan Fungsional Pranata Laboratorium Pendidikan Universitas Indonesia,https://ppid.ui.ac.id/wp-content/uploads/2024/10/PR-2024-NO-7-Tentang-Jabatan-Fungsional-Pranata-Laboratorium-Pendidikan-Universitas-Indonesia_watermark.pdf,PDF,2024,PPID Universitas Indonesia
University of Indonesia,Peraturan Rektor Nomor 9 Tahun 2024 tentang Tata Cara Pengangkatan Pegawai Tetap Universitas Indonesia ke Dalam Jabatan Fungsional Pranata Laboratorium Pendidikan Melalui Penyesuaian/Inpassing,https://ppid.ui.ac.id/wp-content/uploads/2024/10/PR-2024-NO-9-Tentang-Tata-Cara-Pengangkatan-Pegawai-Tetap-Universitas-Indonesia-ke-Dalam-Jabatan-Fungsional-Pranata-Laboratorium-Pendidikan-Melalui-PenyesuaianInpassing_watermark.pdf,PDF,2024,PPID Universitas Indonesia
